00197120,HW34/5,"Instapper R/Z in de kleur zwart","DAMESSCHOENEN > INSTAPPERS",F/W15/16,38,ZWART,RELIGION,71.97,119.95,Sale,1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_HW34-5/IMG_HW34-5.ZWART/IMG_9964141216.jpg,#000000
00197121,HW34/5,"Instapper R/Z in de kleur zwart","DAMESSCHOENEN > INSTAPPERS",F/W15/16,39,ZWART,RELIGION,71.97,119.95,Sale,2,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_HW34-5/IMG_HW34-5.ZWART/IMG_9964141216.jpg,#000000
0020071,Buckingh,"Ballerina in de kleur zwart","DAMESSCHOENEN > BALLERINA'S","F/W 14/15",35,ZWART,COCOROSE,,109.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_Buckingh/IMG_Buckingh.ZWART/IMG_0312141216.jpg,#000000
00200726,Buckingh,"Ballerina in de kleur zw/wit","DAMESSCHOENEN > BALLERINA'S","F/W 14/15",36,ZWART,COCOROSE,,109.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_Buckingh/IMG_Buckingh.ZW_WIT/IMG_0319141216.jpg,#000000
0020114,66329/5,"Instapper Studs  in de kleur wit","DAMESSCHOENEN > INSTAPPERS","2015 Zomer","36 1/2",WIT,EVERYBODY,65.97,109.95,Sale,1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_66329-5/IMG_66329-5.WIT/IMG_0262141216.jpg,#FFFFFF
00201224,66599/5,"Instapper in de kleur zw/luip","DAMESSCHOENEN > INSTAPPERS","2015 Zomer","38 1/2",ZWART,EVERYBODY,59.97,99.95,Sale,1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_66599-5/IMG_66599-5.ZW_LUIP/IMG_0989141216.jpg,#000000
0020132,FL1AD2/5,"Pump Kant in de kleur zwart","DAMESSCHOENEN > PUMPS","2015 Zomer",36,ZWART,GUESS,113.97,189.95,Sale,1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_FL1AD2-5/IMG_FL1AD2-5.ZWART/IMG_0659141216.jpg,#000000
0020133,FL1AD2/5,"Pump Kant in de kleur zwart","DAMESSCHOENEN > PUMPS","2015 Zomer",37,ZWART,GUESS,113.97,189.95,Sale,3,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_FL1AD2-5/IMG_FL1AD2-5.ZWART/IMG_0659141216.jpg,#000000
0020134,FL1AD2/5,"Pump Kant in de kleur zwart","DAMESSCHOENEN > PUMPS","2015 Zomer",38,ZWART,GUESS,113.97,189.95,Sale,1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_FL1AD2-5/IMG_FL1AD2-5.ZWART/IMG_0659141216.jpg,#000000
0020135,FL1AD2/5,"Pump Kant in de kleur zwart","DAMESSCHOENEN > PUMPS","2015 Zomer",39,ZWART,GUESS,113.97,189.95,Sale,1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_FL1AD2-5/IMG_FL1AD2-5.ZWART/IMG_0659141216.jpg,#000000
