0020223,Tadi/5,"Suede Pump 7/8H in de kleur blauw","DAMESSCHOENEN > PUMPS","2015 Zomer",36,BLAUW,UNISA,,99.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_Tadi-5/IMG_Tadi-5.BLAUW/IMG_2920141216.jpg,#0000FF
0020225,Tadi/5,"Suede Pump 7/8H in de kleur blauw","DAMESSCHOENEN > PUMPS","2015 Zomer",37,BLAUW,UNISA,,99.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_Tadi-5/IMG_Tadi-5.BLAUW/IMG_2920141216.jpg,#0000FF
0020227,Tadi/5,"Suede Pump 7/8H in de kleur blauw","DAMESSCHOENEN > PUMPS","2015 Zomer",38,BLAUW,UNISA,,99.95,"New Collection",3,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_Tadi-5/IMG_Tadi-5.BLAUW/IMG_2920141216.jpg,#0000FF
00202223,Tadi/5,"Suede Pump 7/8H in de kleur ecru","DAMESSCHOENEN > PUMPS","2015 Zomer",38,ECRU,UNISA,,99.95,"New Collection",2,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_Tadi-5/IMG_Tadi-5.ECRU/IMG_2942141216.jpg,#f4e5d1
00202211,Tadi/5,"Suede Pump 7/8H in de kleur blauw","DAMESSCHOENEN > PUMPS","2015 Zomer",40,BLAUW,UNISA,,99.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_Tadi-5/IMG_Tadi-5.BLAUW/IMG_2920141216.jpg,#0000FF
0020253,Obert/5,"Suede Pump 3/4H in de kleur blauw","DAMESSCHOENEN > PUMPS","2015 Zomer",36,BLAUW,UNISA,,99.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_Obert-5/IMG_Obert-5.BLAUW/IMG_2932141216.jpg,#0000FF
00202519,Obert/5,"Suede Pump 3/4H in de kleur ecru","DAMESSCHOENEN > PUMPS","2015 Zomer",36,ECRU,UNISA,,99.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_Obert-5/IMG_Obert-5.ECRU/IMG_2925141216.jpg,#f4e5d1
00202521,Obert/5,"Suede Pump 3/4H in de kleur ecru","DAMESSCHOENEN > PUMPS","2015 Zomer",37,ECRU,UNISA,,99.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_Obert-5/IMG_Obert-5.ECRU/IMG_2925141216.jpg,#f4e5d1
0020257,Obert/5,"Suede Pump 3/4H in de kleur blauw","DAMESSCHOENEN > PUMPS","2015 Zomer",38,BLAUW,UNISA,,99.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_Obert-5/IMG_Obert-5.BLAUW/IMG_2932141216.jpg,#0000FF
0020274,Isolda/5,"Slipper Sleehak in de kleur zwart/luip","DAMESSCHOENEN > SLIPPER","2015 Zomer",38,ZWART,UNISA,,99.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_Isolda-5/IMG_Isolda-5.ZWART_LUIP/IMG_2927141216.jpg,#000000
0020315,Varci/5,"Suede Sand 7/8H in de kleur zwart","DAMESSCHOENEN > SANDAAL","2015 Zomer",39,ZWART,UNISA,,119.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_Varci-5/IMG_Varci-5.ZWART/IMG_2940141216.jpg,#000000
00203737,5613/5,"Lak Pump O/T 3/4H in de kleur zwart","DAMESSCHOENEN > PUMPS","2015 Zomer",37,ZWART,"NINO MIRACLIA",,139.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_5613-5/IMG_5613-5.ZWART/IMG_3029141216.jpg,#000000
00203739,5613/5,"Lak Pump O/T 3/4H in de kleur zwart","DAMESSCHOENEN > PUMPS","2015 Zomer",38,ZWART,"NINO MIRACLIA",,139.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_5613-5/IMG_5613-5.ZWART/IMG_3029141216.jpg,#000000
00203745,5613/5,"Lak Pump O/T 3/4H in de kleur zwart","DAMESSCHOENEN > PUMPS","2015 Zomer",41,ZWART,"NINO MIRACLIA",,139.95,"New Collection",2,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_5613-5/IMG_5613-5.ZWART/IMG_3029141216.jpg,#000000
00204411,1200898801/5,"Sneakers in de kleur zwart","HERENSCHOENEN > SNEAKERS",F/W15/16,40,ZWART,MOSCHINO,,189.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_1200898801-5/IMG_1200898801-5.ZWART/IMG_2329141216.jpg,#000000
0020447,1200898801/5,"Sneakers in de kleur wit","HERENSCHOENEN > SNEAKERS",F/W15/16,45,WIT,MOSCHINO,,189.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_1200898801-5/IMG_1200898801-5.WIT/IMG_3475141216.jpg,#FFFFFF
00204410,1200898801/5,"Sneakers in de kleur zwart","HERENSCHOENEN > SNEAKERS",F/W15/16,39,ZWART,MOSCHINO,,189.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_1200898801-5/IMG_1200898801-5.ZWART/IMG_2329141216.jpg,#000000
0020453,1200898804/5,"Sneakers in de kleur wit/multi","HERENSCHOENEN > SNEAKERS","2015 Zomer",41,WIT,MOSCHINO,,154.95,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_1200898804-5/IMG_1200898804-5.WIT_MULTI/IMG_2327141216.jpg,#FFFFFF
